ea_id,district,distnum
30205702,Machinga,14
30206341,Machinga,14
30206516,Machinga,14
30206517,Machinga,14
30206557,Machinga,14
30206558,Machinga,14
30206572,Machinga,14
30207060,Machinga,14
30207188,Machinga,14
30207491,Machinga,14
30207518,Machinga,14
30207559,Machinga,14
30207560,Machinga,14
30207561,Machinga,14
30208396,Machinga,14
30208519,Machinga,14
30208562,Machinga,14
30209287,Machinga,14
30209520,Machinga,14
30209521,Machinga,14
30209563,Machinga,14
30210522,Machinga,14
30210523,Machinga,14
30211524,Machinga,14
30211525,Machinga,14
30212167,Machinga,14
30212307,Machinga,14
30212492,Machinga,14
30212526,Machinga,14
30212527,Machinga,14
30212564,Machinga,14
30212565,Machinga,14
30214528,Machinga,14
30216529,Machinga,14
30221530,Machinga,14
30222077,Machinga,14
30222566,Machinga,14
30306594,Machinga,14
31221753,Machinga,14
30101280,Mangochi,15
30101485,Mangochi,15
30101486,Mangochi,15
30101487,Mangochi,15
30101519,Mangochi,15
30101520,Mangochi,15
30101521,Mangochi,15
30101545,Mangochi,15
30101552,Mangochi,15
30102028,Mangochi,15
30102488,Mangochi,15
30102489,Mangochi,15
30102522,Mangochi,15
30102523,Mangochi,15
30102524,Mangochi,15
30102540,Mangochi,15
30102632,Mangochi,15
30102641,Mangochi,15
30103021,Mangochi,15
30103074,Mangochi,15
30103420,Mangochi,15
30103490,Mangochi,15
30103525,Mangochi,15
30103526,Mangochi,15
30103527,Mangochi,15
30103528,Mangochi,15
30104022,Mangochi,15
30104040,Mangochi,15
30104491,Mangochi,15
30104492,Mangochi,15
30104493,Mangochi,15
30104529,Mangochi,15
30104530,Mangochi,15
30104708,Mangochi,15
30105325,Mangochi,15
30105448,Mangochi,15
30105494,Mangochi,15
30105495,Mangochi,15
30105531,Mangochi,15
30105532,Mangochi,15
30106005,Mangochi,15
30106331,Mangochi,15
30106496,Mangochi,15
30106497,Mangochi,15
30106498,Mangochi,15
30106533,Mangochi,15
30106534,Mangochi,15
30106536,Mangochi,15
30106750,Mangochi,15
30107395,Mangochi,15
30107499,Mangochi,15
30107500,Mangochi,15
30107537,Mangochi,15
30107624,Mangochi,15
30108117,Mangochi,15
30108401,Mangochi,15
30108501,Mangochi,15
30108502,Mangochi,15
30108538,Mangochi,15
30108539,Mangochi,15
30109503,Mangochi,15
30109540,Mangochi,15
30109724,Mangochi,15
30110504,Mangochi,15
30111505,Mangochi,15
30114506,Mangochi,15
30120262,Mangochi,15
30120507,Mangochi,15
30120541,Mangochi,15
30121508,Mangochi,15
30121542,Mangochi,15
20701385,Mchinji,16
20701386,Mchinji,16
20701387,Mchinji,16
20701411,Mchinji,16
20701412,Mchinji,16
20701527,Mchinji,16
20701659,Mchinji,16
20702011,Mchinji,16
20702282,Mchinji,16
20702388,Mchinji,16
20702389,Mchinji,16
20702390,Mchinji,16
20702391,Mchinji,16
20702413,Mchinji,16
20702414,Mchinji,16
20702415,Mchinji,16
20702416,Mchinji,16
20702417,Mchinji,16
20702464,Mchinji,16
20702471,Mchinji,16
20702542,Mchinji,16
20703025,Mchinji,16
20703083,Mchinji,16
20703316,Mchinji,16
20703392,Mchinji,16
20703393,Mchinji,16
20703418,Mchinji,16
20703419,Mchinji,16
20703420,Mchinji,16
20703421,Mchinji,16
20703422,Mchinji,16
20703565,Mchinji,16
20703595,Mchinji,16
20704037,Mchinji,16
20704289,Mchinji,16
20704353,Mchinji,16
20704394,Mchinji,16
20704395,Mchinji,16
20704423,Mchinji,16
20704424,Mchinji,16
20704425,Mchinji,16
20704426,Mchinji,16
20704738,Mchinji,16
20705328,Mchinji,16
20705372,Mchinji,16
20705396,Mchinji,16
20705397,Mchinji,16
20705427,Mchinji,16
20705428,Mchinji,16
20705429,Mchinji,16
20705430,Mchinji,16
20705431,Mchinji,16
20705495,Mchinji,16
20705652,Mchinji,16
20705657,Mchinji,16
20706163,Mchinji,16
20706294,Mchinji,16
20706398,Mchinji,16
20706399,Mchinji,16
20706432,Mchinji,16
20706433,Mchinji,16
20707400,Mchinji,16
20707401,Mchinji,16
20707402,Mchinji,16
20708403,Mchinji,16
20711404,Mchinji,16
20712405,Mchinji,16
20720368,Mchinji,16
20720406,Mchinji,16
20720434,Mchinji,16
30801205,Mulanje,17
30801300,Mulanje,17
30801305,Mulanje,17
30801386,Mulanje,17
30801631,Mulanje,17
30801642,Mulanje,17
30801643,Mulanje,17
30801644,Mulanje,17
30801645,Mulanje,17
30801672,Mulanje,17
30801679,Mulanje,17
30801687,Mulanje,17
30801688,Mulanje,17
30801689,Mulanje,17
30801690,Mulanje,17
30801691,Mulanje,17
30801692,Mulanje,17
30801693,Mulanje,17
30802036,Mulanje,17
30802485,Mulanje,17
30802579,Mulanje,17
30802646,Mulanje,17
30802647,Mulanje,17
30802648,Mulanje,17
30802694,Mulanje,17
30802696,Mulanje,17
30803115,Mulanje,17
30803233,Mulanje,17
30803480,Mulanje,17
30803649,Mulanje,17
30803650,Mulanje,17
30803651,Mulanje,17
